Gender,MonthlyCharge,Bandwidth_GB_Year,const
1,0.33175355450237,0.894104526314511,1
0,0.843601895734597,0.279615651926076,1
1,0.454976303317536,0.205320843173324,1
1,0.345971563981043,0.779662282835534,1
0,0.497630331753555,0.772557279631695,1
1,0.545023696682464,0.65243266375186,1
0,0.061611374407583,0.681795643190821,1
0,0.393364928909953,0.662385250837448,1
0,0.42654028436019,0.0932380688630137,1
1,0.28436018957346,0.176567974302723,1
0,0.4739336492891,0.670488441824418,1
0,0.274881516587678,0.209544311919981,1
0,0.213270142180095,0.313929308980775,1
1,0.37914691943128,0.648573271134164,1
1,0.227488151658768,0.854025619856419,1
1,0.620853080568721,0.674322090507173,1
1,0.33175355450237,0.722299847815693,1
0,0.393364928909953,0.582125359878741,1
1,0.4739336492891,0.232860937496414,1
1,0.393364928909953,0.825109709919758,1
1,0.308056872037915,0.811276643826661,1
0,0.488151658767773,0.741197278518629,1
1,0.274881516587678,0.528986504978844,1
0,0.23696682464455,0.860894342778874,1
1,0.33175355450237,0.743152041884136,1
1,0.23696682464455,0.665410737693489,1
0,0.274881516587678,0.0792817084591949,1
0,0.417061611374408,0.716798262671648,1
0,0.440758293838863,0.242114993905576,1
1,0.592417061611374,0.136879192186061,1
1,0.298578199052133,0.0824601450192418,1
0,0.725118483412322,0.826039197091736,1
1,0.298578199052133,0.283151887959401,1
1,0.620853080568721,0.844764694856841,1
0,0.440758293838863,0.0467685629980589,1
1,0.677725118483412,0.191194613607211,1
0,0.440758293838863,0.5765990749957,1
1,0.227488151658768,0.164313316827018,1
0,0.668246445497631,0.882446797093752,1
0,0.867298578199052,0.580710391557803,1
1,0.739336492890995,0.32886114778357,1
1,0.274881516587678,0.0289736954375276,1
0,0.677725118483412,0.294406936071936,1
1,0.654028436018957,0.721746990255387,1
1,0.592417061611374,0.199839237682763,1
0,0.345971563981043,0.547901202681832,1
0,0.28436018957346,0.922963194380447,1
0,0.393364928909953,0.26348269750254,1
0,0.42654028436019,0.0982254630954013,1
1,0.497630331753555,0.861969536478958,1
0,0.322274881516588,0.910301525089148,1
1,0.559241706161137,0.176289227673155,1
0,0.677725118483412,0.909168019620867,1
1,0.488151658767773,0.189031450263335,1
0,0.28436018957346,0.791452810563396,1
1,0.592417061611374,0.789893360392133,1
0,0.18957345971564,0.584503132404439,1
1,0.42654028436019,0.0136247066517473,1
1,0.772511848341232,0.209153554607045,1
1,0.23696682464455,0.62409431496973,1
1,0.488151658767773,0.127454191919516,1
0,0.677725118483412,0.277952892894698,1
1,0.369668246445498,0.803192248081121,1
0,0.440758293838863,0.906475357692666,1
0,0.165876777251185,0.64103900416065,1
1,0.227488151658768,0.529904300811571,1
0,0.355450236966825,0.772752983626664,1
0,0.227488151658768,0.0365232194945354,1
1,0.606635071090047,0.126926827418685,1
0,0.464454976303318,0.218222336272706,1
0,0.23696682464455,0.303875656492844,1
1,0.440758293838863,0.0780578841967876,1
0,0.18957345971564,0.543510096008148,1
0,0.677725118483412,0.175604264261908,1
1,0.725118483412322,0.887671067183307,1
0,0.227488151658768,0.858080058367196,1
0,0.180094786729858,0.770666204222777,1
0,0.488151658767773,0.530573947111979,1
0,0.33175355450237,0.802008635200553,1
0,0.497630331753555,0.31832472494389,1
0,0.715639810426541,0.234163619842069,1
1,0.42654028436019,0.76363846109544,1
1,0.28436018957346,0.807821478121277,1
0,0.298578199052133,0.224722169598472,1
0,0.772511848341232,0.247753222362441,1
0,0.497630331753555,0.340927197456027,1
1,0.402843601895735,0.603873610285729,1
1,0.28436018957346,0.152022396352345,1
1,0.274881516587678,0.237606412403795,1
0,0.156398104265403,0.131610437750061,1
0,0.715639810426541,0.731371246896349,1
1,0.123222748815166,0.201752341870833,1
1,0.620853080568721,0.551782073209275,1
1,0.772511848341232,0.240329233932133,1
1,0.061611374407583,0.24437296004628,1
0,0.227488151658768,0.0202027788681295,1
1,0.450236966824645,0.235801463384407,1
1,0.37914691943128,0.137523190361112,1
0,0.535545023696683,0.185206678888151,1
1,0.620853080568721,0.902163108873772,1
0,0.308056872037915,0.931230694375497,1
1,0.725118483412322,0.140790893551866,1
0,0.511848341232227,0.137391621672094,1
0,0.33175355450237,0.148156718283332,1
1,0.677725118483412,0.656887476087629,1
0,0.819905213270142,0.687260639212072,1
1,0.227488151658768,0.360237113114821,1
0,0.42654028436019,0.162858413472774,1
